CSDUID,CSD,Period,IndicatorSummaryDescription,Rental Unit Type,UnitOfMeasure,OriginalValue
4808011,Red Deer,1987,Average Residential Rent (2-bedroom units),1 - bedroom,$,377.00000
4808011,Red Deer,1988,Average Residential Rent (2-bedroom units),1 - bedroom,$,379.00000
4808011,Red Deer,1989,Average Residential Rent (2-bedroom units),1 - bedroom,$,388.00000
4808011,Red Deer,1990,Average Residential Rent (2-bedroom units),1 - bedroom,$,413.00000
4808011,Red Deer,1991,Average Residential Rent (2-bedroom units),1 - bedroom,$,429.00000
4808011,Red Deer,1992,Average Residential Rent (2-bedroom units),1 - bedroom,$,439.00000
4808011,Red Deer,1993,Average Residential Rent (2-bedroom units),1 - bedroom,$,436.50000
4808011,Red Deer,1994,Average Residential Rent (2-bedroom units),1 - bedroom,$,444.50000
4808011,Red Deer,1995,Average Residential Rent (2-bedroom units),1 - bedroom,$,439.50000
4808011,Red Deer,1996,Average Residential Rent (2-bedroom units),1 - bedroom,$,441.00000
4808011,Red Deer,1997,Average Residential Rent (2-bedroom units),1 - bedroom,$,436.00000
4808011,Red Deer,1998,Average Residential Rent (2-bedroom units),1 - bedroom,$,460.50000
4808011,Red Deer,1999,Average Residential Rent (2-bedroom units),1 - bedroom,$,483.00000
4808011,Red Deer,2000,Average Residential Rent (2-bedroom units),1 - bedroom,$,499.50000
4808011,Red Deer,2001,Average Residential Rent (2-bedroom units),1 - bedroom,$,531.50000
4808011,Red Deer,2002,Average Residential Rent (2-bedroom units),1 - bedroom,$,540.00000
4808011,Red Deer,2003,Average Residential Rent (2-bedroom units),1 - bedroom,$,542.50000
4808011,Red Deer,2004,Average Residential Rent (2-bedroom units),1 - bedroom,$,546.50000
4808011,Red Deer,2005,Average Residential Rent (2-bedroom units),1 - bedroom,$,557.00000
4808011,Red Deer,2006,Average Residential Rent (2-bedroom units),1 - bedroom,$,613.00000
4808011,Red Deer,2007,Average Residential Rent (2-bedroom units),1 - bedroom,$,705.50000
4808011,Red Deer,2008,Average Residential Rent (2-bedroom units),1 - bedroom,$,736.50000
