CSDUID,CSD,Period,IndicatorSummaryDescription,Rental Unit Type,UnitOfMeasure,OriginalValue
4806016,Calgary,1987,Average Residential Rent (2-bedroom units),1 - bedroom,$,384.00000
4806016,Calgary,1988,Average Residential Rent (2-bedroom units),1 - bedroom,$,395.00000
4806016,Calgary,1989,Average Residential Rent (2-bedroom units),1 - bedroom,$,427.00000
4806016,Calgary,1990,Average Residential Rent (2-bedroom units),1 - bedroom,$,458.00000
4806016,Calgary,1991,Average Residential Rent (2-bedroom units),1 - bedroom,$,473.00000
4806016,Calgary,1992,Average Residential Rent (2-bedroom units),1 - bedroom,$,477.50000
4806016,Calgary,1993,Average Residential Rent (2-bedroom units),1 - bedroom,$,471.00000
4806016,Calgary,1994,Average Residential Rent (2-bedroom units),1 - bedroom,$,467.00000
4806016,Calgary,1995,Average Residential Rent (2-bedroom units),1 - bedroom,$,465.00000
4806016,Calgary,1996,Average Residential Rent (2-bedroom units),1 - bedroom,$,474.00000
4806016,Calgary,1997,Average Residential Rent (2-bedroom units),1 - bedroom,$,512.00000
4806016,Calgary,1998,Average Residential Rent (2-bedroom units),1 - bedroom,$,576.00000
4806016,Calgary,1999,Average Residential Rent (2-bedroom units),1 - bedroom,$,600.50000
4806016,Calgary,2000,Average Residential Rent (2-bedroom units),1 - bedroom,$,612.00000
4806016,Calgary,2001,Average Residential Rent (2-bedroom units),1 - bedroom,$,651.00000
4806016,Calgary,2002,Average Residential Rent (2-bedroom units),1 - bedroom,$,658.00000
4806016,Calgary,2003,Average Residential Rent (2-bedroom units),1 - bedroom,$,663.00000
4806016,Calgary,2004,Average Residential Rent (2-bedroom units),1 - bedroom,$,656.50000
4806016,Calgary,2005,Average Residential Rent (2-bedroom units),1 - bedroom,$,667.50000
4806016,Calgary,2006,Average Residential Rent (2-bedroom units),1 - bedroom,$,783.00000
4806016,Calgary,2007,Average Residential Rent (2-bedroom units),1 - bedroom,$,899.50000
4806016,Calgary,2008,Average Residential Rent (2-bedroom units),1 - bedroom,$,953.00000
4806016,Calgary,2009,Average Residential Rent (2-bedroom units),1 - bedroom,$,915.50000
4806016,Calgary,2010,Average Residential Rent (2-bedroom units),1 - bedroom,$,895.50000
4806016,Calgary,2011,Average Residential Rent (2-bedroom units),1 - bedroom,$,901.00000
4806016,Calgary,2012,Average Residential Rent (2-bedroom units),1 - bedroom,$,959.00000
4806016,Calgary,2013,Average Residential Rent (2-bedroom units),1 - bedroom,$,1040.50000
4806016,Calgary,2014,Average Residential Rent (2-bedroom units),1 - bedroom,$,1135.00000
4806016,Calgary,2015,Average Residential Rent (2-bedroom units),1 - bedroom,$,1126.00000
4806016,Calgary,2016,Average Residential Rent (2-bedroom units),1 - bedroom,$,1049.00000
4806016,Calgary,2017,Average Residential Rent (2-bedroom units),1 - bedroom,$,1024.00000
4806016,Calgary,2018,Average Residential Rent (2-bedroom units),1 - bedroom,$,1049.00000
4806016,Calgary,2019,Average Residential Rent (2-bedroom units),1 - bedroom,$,1079.00000
4806016,Calgary,2020,Average Residential Rent (2-bedroom units),1 - bedroom,$,1066.00000
4806016,Calgary,2021,Average Residential Rent (2-bedroom units),1 - bedroom,$,1082.25000
4806016,Calgary,2022,Average Residential Rent (2-bedroom units),1 - bedroom,$,1179.75000
4806016,Calgary,1987,Average Residential Rent (2-bedroom units),2 - bedroom,$,502.00000
4806016,Calgary,1988,Average Residential Rent (2-bedroom units),2 - bedroom,$,515.00000
4806016,Calgary,1989,Average Residential Rent (2-bedroom units),2 - bedroom,$,555.00000
4806016,Calgary,1990,Average Residential Rent (2-bedroom units),2 - bedroom,$,595.00000
4806016,Calgary,1991,Average Residential Rent (2-bedroom units),2 - bedroom,$,608.00000
4806016,Calgary,1992,Average Residential Rent (2-bedroom units),2 - bedroom,$,603.00000
4806016,Calgary,1993,Average Residential Rent (2-bedroom units),2 - bedroom,$,589.00000
4806016,Calgary,1994,Average Residential Rent (2-bedroom units),2 - bedroom,$,589.00000
4806016,Calgary,1995,Average Residential Rent (2-bedroom units),2 - bedroom,$,588.00000
4806016,Calgary,1996,Average Residential Rent (2-bedroom units),2 - bedroom,$,600.50000
4806016,Calgary,1997,Average Residential Rent (2-bedroom units),2 - bedroom,$,641.50000
4806016,Calgary,1998,Average Residential Rent (2-bedroom units),2 - bedroom,$,716.00000
4806016,Calgary,1999,Average Residential Rent (2-bedroom units),2 - bedroom,$,745.00000
4806016,Calgary,2000,Average Residential Rent (2-bedroom units),2 - bedroom,$,746.50000
4806016,Calgary,2001,Average Residential Rent (2-bedroom units),2 - bedroom,$,791.00000
4806016,Calgary,2002,Average Residential Rent (2-bedroom units),2 - bedroom,$,811.00000
4806016,Calgary,2003,Average Residential Rent (2-bedroom units),2 - bedroom,$,809.50000
4806016,Calgary,2004,Average Residential Rent (2-bedroom units),2 - bedroom,$,810.00000
4806016,Calgary,2005,Average Residential Rent (2-bedroom units),2 - bedroom,$,813.00000
4806016,Calgary,2006,Average Residential Rent (2-bedroom units),2 - bedroom,$,966.00000
4806016,Calgary,2007,Average Residential Rent (2-bedroom units),2 - bedroom,$,1099.00000
4806016,Calgary,2008,Average Residential Rent (2-bedroom units),2 - bedroom,$,1156.00000
4806016,Calgary,2009,Average Residential Rent (2-bedroom units),2 - bedroom,$,1104.00000
4806016,Calgary,2010,Average Residential Rent (2-bedroom units),2 - bedroom,$,1078.50000
4806016,Calgary,2011,Average Residential Rent (2-bedroom units),2 - bedroom,$,1093.00000
4806016,Calgary,2012,Average Residential Rent (2-bedroom units),2 - bedroom,$,1158.50000
4806016,Calgary,2013,Average Residential Rent (2-bedroom units),2 - bedroom,$,1232.00000
4806016,Calgary,2014,Average Residential Rent (2-bedroom units),2 - bedroom,$,1349.00000
4806016,Calgary,2015,Average Residential Rent (2-bedroom units),2 - bedroom,$,1355.00000
4806016,Calgary,2016,Average Residential Rent (2-bedroom units),2 - bedroom,$,1242.00000
4806016,Calgary,2017,Average Residential Rent (2-bedroom units),2 - bedroom,$,1235.00000
4806016,Calgary,2018,Average Residential Rent (2-bedroom units),2 - bedroom,$,1262.00000
4806016,Calgary,2019,Average Residential Rent (2-bedroom units),2 - bedroom,$,1295.00000
4806016,Calgary,2020,Average Residential Rent (2-bedroom units),2 - bedroom,$,1318.50000
4806016,Calgary,2021,Average Residential Rent (2-bedroom units),2 - bedroom,$,1347.25000
4806016,Calgary,2022,Average Residential Rent (2-bedroom units),2 - bedroom,$,1461.75000
4806016,Calgary,1987,Average Residential Rent (2-bedroom units),3 - bedroom,$,620.00000
4806016,Calgary,1988,Average Residential Rent (2-bedroom units),3 - bedroom,$,576.00000
4806016,Calgary,1989,Average Residential Rent (2-bedroom units),3 - bedroom,$,661.00000
4806016,Calgary,1990,Average Residential Rent (2-bedroom units),3 - bedroom,$,688.00000
4806016,Calgary,1991,Average Residential Rent (2-bedroom units),3 - bedroom,$,714.00000
4806016,Calgary,1992,Average Residential Rent (2-bedroom units),3 - bedroom,$,670.00000
4806016,Calgary,1993,Average Residential Rent (2-bedroom units),3 - bedroom,$,650.00000
4806016,Calgary,1994,Average Residential Rent (2-bedroom units),3 - bedroom,$,635.00000
4806016,Calgary,1995,Average Residential Rent (2-bedroom units),3 - bedroom,$,650.00000
